signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.21146114263592294	0.21392750958667778	0.21375024259390962	0.18352717721471676	0.242380517055496	0.19360972502136087	0.20734769774015022	0.2209968326068248	0.2320556079851969
Signature 2	0.044922846559589696	0.044182226149729976	0.04415014870898036	0.02889739866692607	0.06394669118035998	0.03541165345009016	0.04113286492066147	0.047142585171959	0.053324246888868276
Signature 3	0.191225227200791	0.19237313712614051	0.19213105054417984	0.12415544972870192	0.25798358977006064	0.15664004641578688	0.18035022828667585	0.2042576772545613	0.2271817647915763
Signature 4	0.004329415538438427	0.010433193065502963	0.008777528261474044	5.6141097365807606e-5	0.03993351394425592	5.379348931422499e-4	0.004264027193577596	0.015247822625048119	0.028347501548587475
Signature 5	0.005041409061344865	0.01837815194721502	0.013593483168660596	6.6713708643878195e-6	0.10303419453858781	3.280521824683423e-4	0.005384516256471422	0.027087273604499505	0.061904238839770635
Signature 6	0.0015517266664272491	0.005208566736332042	0.0038935083831925493	1.1202109120667225e-5	0.025819097477517025	1.6545080918483937e-4	0.0015796974857622736	0.00742313279204023	0.01851487196163877
Signature 7	0.0075001308041648465	0.008096031328043209	0.0077341628285673624	9.339941547510784e-5	0.02346260986660353	5.490781794612847e-4	0.0041919006314766055	0.011178821626538382	0.017967600973977597
Signature 8	0.2381447642408663	0.23850120664060057	0.2385962620817775	0.17490925328725127	0.2970730894007298	0.2050533902312017	0.22698843037235364	0.2506023175095663	0.27253272990153704
Signature 9	0.07607479309058746	0.07880775512205454	0.07855971294549319	0.041938376616048455	0.11846482644194069	0.05606777442352989	0.0706763568104451	0.08692457895379008	0.10315570811557546
Signature 10	8.729455756753286e-4	0.0025059538047151157	0.0019501828037607684	6.113542050993881e-7	0.012749578266742369	8.238754667583222e-5	8.883281240963522e-4	0.0035599240688741814	0.007839174963407615
Signature 11	0.0021648239503312236	0.005379782156755094	0.004499016328612717	1.2400779291628444e-5	0.02211205114576518	1.5473978448806092e-4	0.0021657610982641897	0.007767681276046665	0.014772022774989431
Signature 12	0.0013697597462293126	0.004724379397723148	0.0033067149296054643	1.7586301709597914e-6	0.031863497460442286	1.3077799981571172e-4	0.0014070220806898705	0.006546268528900213	0.01606407462575973
Signature 13	0.04389321879172783	0.04216150045156261	0.04229770594496697	0.02894366762831846	0.05493237653182634	0.03426102760477498	0.039445162515575886	0.04485771719894181	0.05043222708920917
Signature 14	9.124255266143759e-4	0.0027257705070910473	0.001999720907241166	1.6383099278934312e-5	0.01826492851669829	9.266618524214863e-5	0.00086567967958443555	0.003738459859951188	0.009448811109030203
Signature 15	0.0010042660016462018	0.00333043566401236	0.0025295182871227476	5.03064473282223e-6	0.025069575379810048	9.123437306432268e-5	0.0010580795660292705	0.004738515495955492	0.010577643096135536
Signature 16	0.04834028270896882	0.04467539973548732	0.045500879131386056	0.0026571563093891414	0.09949737100166936	0.010301515576624546	0.03232743326163598	0.05664446056474398	0.07823372872530303
Signature 17	0.0021133907670761536	0.004567581593370437	0.003962208773783357	2.230043557364589e-6	0.016849455945494786	2.408279048486686e-4	0.0019918674061806473	0.006561054168875185	0.012079214364788763
Signature 18	3.9837710536304955e-4	0.0014612874840843786	0.0010916343870616026	6.374269136921721e-6	0.011998848391615904	4.64902108271876e-5	4.2748747670350696e-4	0.002073858157966458	0.005062265114480638
Signature 19	9.565299461137475e-4	0.002566495382707239	0.001968302112580632	9.146345126287616e-7	0.016148226925697524	8.150854590613809e-5	9.661696926322572e-4	0.0036554945217316245	0.008183238718626045
Signature 20	7.648446032350272e-4	0.0024193216725226247	0.0016507092622838526	5.4233848310606985e-06	0.014508526778303613	6.849473375861832e-5	6.912590635994077e-4	0.003441959322429603	0.008126233044661106
Signature 21	0.0034731405288057193	0.005321350933803957	0.004743229041905677	9.07027570165656e-6	0.022812259853653597	2.737397437847032e-4	0.0026163590797716966	0.007610742919135168	0.013289726876201852
